VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00425	1	30.11.2020	4	5	0	24314
00425	1	30.11.2020	4	3	0	8328
00425	1	30.11.2020	1	2	0	11496
00425	1	30.11.2020	1	4	0	11952
00425	1	30.11.2020	3	5	0	19783
00425	1	30.11.2020	5	2	0	7736
00425	1	30.11.2020	1	2	0	14232
00425	1	30.11.2020	4	3	0	8152
00425	1	30.11.2020	3	4	0	18719
00425	1	30.11.2020	4	1	0	4897
00425	1	30.11.2020	3	5	0	14031
00425	1	30.11.2020	5	4	0	8552
00425	1	30.11.2020	5	1	0	12415
00425	1	30.11.2020	2	1	0	16768
00425	1	30.11.2020	4	3	0	8616
00425	1	30.11.2020	2	3	0	8881
00425	1	30.11.2020	1	5	0	6367
00425	1	30.11.2020	3	1	0	4223
00425	1	30.11.2020	1	4	0	10967
00425	1	30.11.2020	4	5	0	7848
00425	1	30.11.2020	4	4	1	13480
00425	1	30.11.2020	1	3	0	8343
00425	1	30.11.2020	2	2	1	14719
00425	1	30.11.2020	4	1	0	9247
00425	1	30.11.2020	2	3	0	6904
00425	1	30.11.2020	3	4	0	8736
00425	1	30.11.2020	3	3	1	8959
00425	1	30.11.2020	1	2	0	8841
00425	1	30.11.2020	5	3	0	12095
00425	1	30.11.2020	3	5	0	13496
00425	1	30.11.2020	4	1	0	5975
00425	1	30.11.2020	5	2	0	7328
00425	1	30.11.2020	4	3	0	8656
00425	1	30.11.2020	2	4	0	16727
00425	1	30.11.2020	3	2	0	12640
