VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00023	1	16.12.2019	5	5	1	2524
00023	1	16.12.2019	3	3	1	3128
00023	1	16.12.2019	2	2	1	2464
00023	1	16.12.2019	4	4	1	2992
00023	1	16.12.2019	5	5	1	4112
00023	1	16.12.2019	2	2	1	3040
00023	1	16.12.2019	2	2	1	2056
00023	1	16.12.2019	3	3	1	3104
00023	1	16.12.2019	4	4	1	3744
00023	1	16.12.2019	1	1	1	2528
00023	1	16.12.2019	5	5	1	3792
00023	1	16.12.2019	4	4	1	2248
00023	1	16.12.2019	2	1	0	9576
00023	1	16.12.2019	1	1	1	2600
00023	1	16.12.2019	3	3	1	3312
00023	1	16.12.2019	3	3	1	4736
00023	1	16.12.2019	5	5	1	3104
00023	1	16.12.2019	1	1	1	2152
00023	1	16.12.2019	5	4	0	8464
00023	1	16.12.2019	4	5	0	8528
00023	1	16.12.2019	4	4	1	8640
00023	1	16.12.2019	3	3	1	2824
00023	1	16.12.2019	2	2	1	2512
00023	1	16.12.2019	1	1	1	1928
00023	1	16.12.2019	3	3	1	2984
00023	1	16.12.2019	4	4	1	2824
00023	1	16.12.2019	3	3	1	3744
00023	1	16.12.2019	5	2	0	7024
00023	1	16.12.2019	1	3	0	6216
00023	1	16.12.2019	5	5	1	5024
00023	1	16.12.2019	1	1	1	8432
00023	1	16.12.2019	2	2	1	6960
00023	1	16.12.2019	3	3	1	6952
00023	1	16.12.2019	3	4	0	6304
00023	1	16.12.2019	5	2	0	5360
