VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00024	1	17.12.2019	5	5	1	4311
00024	1	17.12.2019	3	3	1	4232
00024	1	17.12.2019	2	2	1	3488
00024	1	17.12.2019	4	4	1	3232
00024	1	17.12.2019	5	5	1	15016
00024	1	17.12.2019	2	2	1	3000
00024	1	17.12.2019	2	2	1	2256
00024	1	17.12.2019	3	3	1	2584
00024	1	17.12.2019	4	4	1	4256
00024	1	17.12.2019	1	1	1	9112
00024	1	17.12.2019	5	5	1	4024
00024	1	17.12.2019	4	4	1	3936
00024	1	17.12.2019	5	1	0	5536
00024	1	17.12.2019	1	1	1	5992
00024	1	17.12.2019	3	3	1	2048
00024	1	17.12.2019	3	3	1	1416
00024	1	17.12.2019	5	5	1	5880
00024	1	17.12.2019	5	1	0	5736
00024	1	17.12.2019	4	4	1	5984
00024	1	17.12.2019	5	5	1	6328
00024	1	17.12.2019	4	4	1	11472
00024	1	17.12.2019	2	3	0	7248
00024	1	17.12.2019	5	2	0	5664
00024	1	17.12.2019	2	1	0	8464
00024	1	17.12.2019	3	3	1	5976
00024	1	17.12.2019	4	4	1	3208
00024	1	17.12.2019	2	3	0	4904
00024	1	17.12.2019	4	2	0	5920
00024	1	17.12.2019	1	3	0	5976
00024	1	17.12.2019	1	5	0	5792
00024	1	17.12.2019	2	1	0	4280
00024	1	17.12.2019	1	2	0	4576
00024	1	17.12.2019	4	3	0	5568
00024	1	17.12.2019	3	4	0	6248
00024	1	17.12.2019	4	2	0	8392
