VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00180	1	13.2.2020	5	5	1	2360
00180	1	13.2.2020	3	3	1	13169
00180	1	13.2.2020	2	2	1	3792
00180	1	13.2.2020	4	4	1	12535
00180	1	13.2.2020	4	5	0	14208
00180	1	13.2.2020	2	2	1	4296
00180	1	13.2.2020	2	2	1	3777
00180	1	13.2.2020	3	3	1	2856
00180	1	13.2.2020	2	4	0	13751
00180	1	13.2.2020	1	1	1	3216
00180	1	13.2.2020	5	5	1	5976
00180	1	13.2.2020	5	4	0	6721
00180	1	13.2.2020	2	1	0	6359
00180	1	13.2.2020	1	1	1	5793
00180	1	13.2.2020	3	3	1	3368
00180	1	13.2.2020	3	3	1	2567
00180	1	13.2.2020	5	5	1	3641
00180	1	13.2.2020	1	1	1	4351
00180	1	13.2.2020	5	4	0	5344
00180	1	13.2.2020	4	5	0	6248
00180	1	13.2.2020	4	4	1	8545
00180	1	13.2.2020	5	3	0	7015
00180	1	13.2.2020	3	2	0	9936
00180	1	13.2.2020	1	1	1	3335
00180	1	13.2.2020	4	3	0	7001
00180	1	13.2.2020	4	4	1	3103
00180	1	13.2.2020	1	3	0	10809
00180	1	13.2.2020	4	2	0	5487
00180	1	13.2.2020	1	3	0	4848
00180	1	13.2.2020	4	5	0	7671
00180	1	13.2.2020	4	1	0	6585
00180	1	13.2.2020	1	2	0	6695
00180	1	13.2.2020	5	3	0	4993
00180	1	13.2.2020	3	4	0	8456
00180	1	13.2.2020	5	2	0	6688
