VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00067	1	6.1.2020	5	5	1	3203
00067	1	6.1.2020	3	3	1	4694
00067	1	6.1.2020	2	2	1	2823
00067	1	6.1.2020	4	4	1	4222
00067	1	6.1.2020	5	5	1	5119
00067	1	6.1.2020	2	2	1	4838
00067	1	6.1.2020	2	2	1	5047
00067	1	6.1.2020	3	3	1	3062
00067	1	6.1.2020	4	4	1	5935
00067	1	6.1.2020	1	1	1	3662
00067	1	6.1.2020	5	5	1	4758
00067	1	6.1.2020	4	4	1	3919
00067	1	6.1.2020	1	1	1	4150
00067	1	6.1.2020	1	1	1	6007
00067	1	6.1.2020	3	3	1	4542
00067	1	6.1.2020	3	3	1	4759
00067	1	6.1.2020	5	5	1	4262
00067	1	6.1.2020	1	1	1	4607
00067	1	6.1.2020	4	4	1	6046
00067	1	6.1.2020	4	5	0	11271
00067	1	6.1.2020	2	4	0	5311
00067	1	6.1.2020	3	3	1	4534
00067	1	6.1.2020	2	2	1	4167
00067	1	6.1.2020	1	1	1	3462
00067	1	6.1.2020	3	3	1	5447
00067	1	6.1.2020	4	4	1	5070
00067	1	6.1.2020	2	3	0	15400
00067	1	6.1.2020	4	2	0	4814
00067	1	6.1.2020	2	3	0	16472
00067	1	6.1.2020	5	5	1	7719
00067	1	6.1.2020	5	1	0	13767
00067	1	6.1.2020	1	2	0	5839
00067	1	6.1.2020	3	3	1	7958
00067	1	6.1.2020	4	4	1	17776
00067	1	6.1.2020	4	2	0	15848
