VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00166	1	6.2.2020	5	5	1	2565
00166	1	6.2.2020	3	3	1	2321
00166	1	6.2.2020	2	2	1	1840
00166	1	6.2.2020	4	4	1	2151
00166	1	6.2.2020	5	5	1	3487
00166	1	6.2.2020	2	2	1	1728
00166	1	6.2.2020	2	2	1	1256
00166	1	6.2.2020	3	3	1	2999
00166	1	6.2.2020	4	4	1	4704
00166	1	6.2.2020	1	1	1	2705
00166	1	6.2.2020	5	5	1	1895
00166	1	6.2.2020	3	4	0	5081
00166	1	6.2.2020	1	1	1	3191
00166	1	6.2.2020	1	1	1	2521
00166	1	6.2.2020	3	3	1	3576
00166	1	6.2.2020	3	3	1	3353
00166	1	6.2.2020	5	5	1	3800
00166	1	6.2.2020	1	1	1	4865
00166	1	6.2.2020	4	4	1	3721
00166	1	6.2.2020	5	5	1	3639
00166	1	6.2.2020	1	4	0	4833
00166	1	6.2.2020	3	3	1	2656
00166	1	6.2.2020	2	2	1	2185
00166	1	6.2.2020	1	1	1	4672
00166	1	6.2.2020	5	3	0	5344
00166	1	6.2.2020	4	4	1	2969
00166	1	6.2.2020	4	3	0	3625
00166	1	6.2.2020	4	2	0	3208
00166	1	6.2.2020	2	3	0	4751
00166	1	6.2.2020	5	5	1	2856
00166	1	6.2.2020	4	1	0	5889
00166	1	6.2.2020	4	2	0	3696
00166	1	6.2.2020	3	3	1	4952
00166	1	6.2.2020	3	4	0	7289
00166	1	6.2.2020	4	2	0	3071
