VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00088	1	14.1.2020	3	3	1	2176
00088	1	14.1.2020	5	5	1	2263
00088	1	14.1.2020	2	2	1	2665
00088	1	14.1.2020	4	4	1	1760
00088	1	14.1.2020	1	1	1	1968
00088	1	14.1.2020	4	4	1	1648
00088	1	14.1.2020	3	3	1	3048
00088	1	14.1.2020	3	3	1	1816
00088	1	14.1.2020	4	4	1	1720
00088	1	14.1.2020	3	3	1	1504
00088	1	14.1.2020	1	1	1	1416
00088	1	14.1.2020	1	1	1	1208
00088	1	14.1.2020	4	4	1	1928
00088	1	14.1.2020	4	4	1	1344
00088	1	14.1.2020	1	1	1	1112
00088	1	14.1.2020	1	1	1	1096
00088	1	14.1.2020	5	5	1	2784
00088	1	14.1.2020	2	2	1	2728
00088	1	14.1.2020	2	2	1	2824
00088	1	14.1.2020	4	4	1	1880
00088	1	14.1.2020	4	4	1	1376
00088	1	14.1.2020	3	3	1	2112
00088	1	14.1.2020	4	4	1	2320
00088	1	14.1.2020	4	4	1	2215
00088	1	14.1.2020	3	3	1	2224
00088	1	14.1.2020	1	1	1	1752
00088	1	14.1.2020	2	2	1	2984
00088	1	14.1.2020	4	4	1	2200
00088	1	14.1.2020	1	1	1	1752
00088	1	14.1.2020	3	3	1	1808
00088	1	14.1.2020	4	4	1	2336
00088	1	14.1.2020	5	5	1	2040
00088	1	14.1.2020	4	4	1	2120
00088	1	14.1.2020	2	2	1	2240
00088	1	14.1.2020	3	3	1	2248
00088	1	14.1.2020	4	4	1	1576
00088	1	14.1.2020	0	1	0	2152
00088	1	14.1.2020	0	4	0	0
00088	1	14.1.2020	0	2	0	0
00088	1	14.1.2020	0	1	0	0
00088	1	14.1.2020	0	3	0	0
00088	1	14.1.2020	0	5	0	0
00088	1	14.1.2020	0	2	0	0
00088	1	14.1.2020	0	5	0	0
00088	1	14.1.2020	0	1	0	0
00088	1	14.1.2020	0	1	0	0
