VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00166	1	6.2.2020	3	3	1	2772
00166	1	6.2.2020	5	5	1	2153
00166	1	6.2.2020	2	2	1	1863
00166	1	6.2.2020	4	4	1	1680
00166	1	6.2.2020	1	1	1	1848
00166	1	6.2.2020	4	4	1	1591
00166	1	6.2.2020	3	3	1	2480
00166	1	6.2.2020	3	3	1	1504
00166	1	6.2.2020	4	4	1	1295
00166	1	6.2.2020	3	3	1	1368
00166	1	6.2.2020	1	1	1	1303
00166	1	6.2.2020	1	1	1	1264
00166	1	6.2.2020	4	4	1	1752
00166	1	6.2.2020	4	4	1	1495
00166	1	6.2.2020	1	1	1	1144
00166	1	6.2.2020	1	1	1	1302
00166	1	6.2.2020	4	5	0	1817
00166	1	6.2.2020	2	2	1	3080
00166	1	6.2.2020	2	2	1	2704
00166	1	6.2.2020	4	4	1	1880
00166	1	6.2.2020	4	4	1	1263
00166	1	6.2.2020	3	3	1	2000
00166	1	6.2.2020	4	4	1	1688
00166	1	6.2.2020	4	4	1	2151
00166	1	6.2.2020	3	3	1	2448
00166	1	6.2.2020	1	1	1	1295
00166	1	6.2.2020	2	2	1	2904
00166	1	6.2.2020	4	4	1	2231
00166	1	6.2.2020	1	1	1	1808
00166	1	6.2.2020	3	3	1	1440
00166	1	6.2.2020	4	4	1	1391
00166	1	6.2.2020	5	5	1	2153
00166	1	6.2.2020	4	4	1	1407
00166	1	6.2.2020	2	2	1	2143
00166	1	6.2.2020	3	3	1	1384
00166	1	6.2.2020	4	4	1	1312
00166	1	6.2.2020	1	1	1	2704
00166	1	6.2.2020	4	4	1	1768
00166	1	6.2.2020	2	2	1	1793
00166	1	6.2.2020	0	1	0	2384
00166	1	6.2.2020	0	3	0	0
00166	1	6.2.2020	0	5	0	0
00166	1	6.2.2020	0	2	0	0
00166	1	6.2.2020	0	5	0	0
00166	1	6.2.2020	0	1	0	0
00166	1	6.2.2020	0	1	0	0
