VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00025	1	19.12.2019	5	5	1	2111
00025	1	19.12.2019	2	3	0	5144
00025	1	19.12.2019	2	2	1	2176
00025	1	19.12.2019	3	4	0	4720
00025	1	19.12.2019	2	5	0	6072
00025	1	19.12.2019	2	2	1	2544
00025	1	19.12.2019	2	2	1	2640
00025	1	19.12.2019	3	3	1	2424
00025	1	19.12.2019	4	4	1	4072
00025	1	19.12.2019	1	1	1	3624
00025	1	19.12.2019	5	5	1	4048
00025	1	19.12.2019	4	4	1	3728
00025	1	19.12.2019	2	1	0	6560
00025	1	19.12.2019	1	1	1	4744
00025	1	19.12.2019	3	3	1	1944
00025	1	19.12.2019	3	3	1	1536
00025	1	19.12.2019	4	5	0	4616
00025	1	19.12.2019	2	1	0	5040
00025	1	19.12.2019	3	4	0	5888
00025	1	19.12.2019	4	5	0	5320
00025	1	19.12.2019	5	4	0	4864
00025	1	19.12.2019	2	3	0	4896
00025	1	19.12.2019	3	2	0	4856
00025	1	19.12.2019	2	1	0	5144
00025	1	19.12.2019	3	3	1	2792
00025	1	19.12.2019	4	4	1	2120
00025	1	19.12.2019	3	3	1	3280
00025	1	19.12.2019	3	2	0	4568
00025	1	19.12.2019	1	3	0	4688
00025	1	19.12.2019	5	5	1	6472
00025	1	19.12.2019	1	1	1	5432
00025	1	19.12.2019	5	2	0	5152
00025	1	19.12.2019	5	3	0	3480
00025	1	19.12.2019	3	4	0	6856
00025	1	19.12.2019	4	2	0	4848
