VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00295	1	25.8.2020	5	5	1	3647
00295	1	25.8.2020	3	3	1	3936
00295	1	25.8.2020	2	2	1	2895
00295	1	25.8.2020	4	4	1	3295
00295	1	25.8.2020	5	5	1	9977
00295	1	25.8.2020	2	2	1	7008
00295	1	25.8.2020	2	2	1	3279
00295	1	25.8.2020	3	3	1	1935
00295	1	25.8.2020	2	4	0	6369
00295	1	25.8.2020	1	1	1	8735
00295	1	25.8.2020	5	5	1	2033
00295	1	25.8.2020	4	4	1	2647
00295	1	25.8.2020	1	1	1	3984
00295	1	25.8.2020	1	1	1	5455
00295	1	25.8.2020	1	3	0	1694
00295	1	25.8.2020	3	3	1	4985
00295	1	25.8.2020	5	5	1	7792
00295	1	25.8.2020	1	1	1	8800
00295	1	25.8.2020	4	4	1	3392
00295	1	25.8.2020	1	5	0	15648
00295	1	25.8.2020	4	4	1	9935
00295	1	25.8.2020	3	3	1	2831
00295	1	25.8.2020	2	2	1	5993
00295	1	25.8.2020	1	1	1	3320
00295	1	25.8.2020	3	3	1	2624
00295	1	25.8.2020	4	4	1	2686
00295	1	25.8.2020	3	3	1	2434
00295	1	25.8.2020	4	2	0	13672
00295	1	25.8.2020	2	3	0	22081
00295	1	25.8.2020	5	5	1	7695
00295	1	25.8.2020	1	1	1	20393
00295	1	25.8.2020	2	2	1	4493
00295	1	25.8.2020	5	3	0	14882
00295	1	25.8.2020	4	4	1	14696
00295	1	25.8.2020	5	2	0	13400
