block_id,start,noise,steps,p1,p2,p3,p4,p5,p6,depth,Q,action,Q_var,Q_abs,Q_abs_max,Q_diff,a_optim
1,3,0,2,20.0,20.0,20.0,-10.0,-20.0,-10.0,1,-12.000000476837158,0,65.0891555293408,12.000000476837158,25.999999046325684,-11.999998092651367,0
1,3,0,2,20.0,20.0,20.0,-10.0,-20.0,-10.0,1,-23.999998569488525,1,65.0891555293408,23.999998569488525,25.999999046325684,-11.999998092651367,0
1,3,0,2,20.0,20.0,20.0,-10.0,-20.0,-10.0,2,-25.999999046325684,0,65.0891555293408,25.999999046325684,25.999999046325684,15.69999933242798,1
1,3,0,2,20.0,20.0,20.0,-10.0,-20.0,-10.0,2,-10.299999713897703,1,65.0891555293408,10.299999713897703,25.999999046325684,15.69999933242798,1
2,6,0,2,-10.0,-20.0,20.0,20.0,0.0,20.0,1,-12.000000476837158,0,49.475620784759634,12.000000476837158,22.5,-10.499999523162842,0
2,6,0,2,-10.0,-20.0,20.0,20.0,0.0,20.0,1,-22.5,1,49.475620784759634,22.5,22.5,-10.499999523162842,0
2,6,0,2,-10.0,-20.0,20.0,20.0,0.0,20.0,2,-15.0,0,49.475620784759634,15.0,22.5,9.449999332427979,1
2,6,0,2,-10.0,-20.0,20.0,20.0,0.0,20.0,2,-5.5500006675720215,1,49.475620784759634,5.5500006675720215,22.5,9.449999332427979,1
3,5,0,2,20.0,10.0,-20.0,-20.0,20.0,-20.0,1,-22.00000047683716,0,131.78916202227336,22.00000047683716,22.00000047683716,26.000000238418583,1
3,5,0,2,20.0,10.0,-20.0,-20.0,20.0,-20.0,1,3.999999761581421,1,131.78916202227336,3.999999761581421,22.00000047683716,26.000000238418583,1
3,5,0,2,20.0,10.0,-20.0,-20.0,20.0,-20.0,2,-4.000000953674316,0,131.78916202227336,4.000000953674316,22.00000047683716,-10.699998140335083,0
3,5,0,2,20.0,10.0,-20.0,-20.0,20.0,-20.0,2,-14.6999990940094,1,131.78916202227336,14.6999990940094,22.00000047683716,-10.699998140335083,0
