id;block_id;group;Qm;groupXQm;Pred;intercept_ID;b_group;b_Qm_ID;b_groupXQm;Pred_TEST
17;21;0;36;0;2.2949;1.804457143;0.027779;0.013628571;0.004141;2.295085714
17;22;0;27;0;2.1724;1.804457143;0.027779;0.013628571;0.004141;2.172428571
17;23;0;22;0;2.1043;1.804457143;0.027779;0.013628571;0.004141;2.104285714
17;24;0;7.45;0;1.9063;1.804457143;0.027779;0.013628571;0.004141;1.90599
17;25;0;16.5;0;2.0294;1.804457143;0.027779;0.013628571;0.004141;2.029328571
17;26;0;20;0;2.0771;1.804457143;0.027779;0.013628571;0.004141;2.077028571
17;27;0;17.5;0;2.0431;1.804457143;0.027779;0.013628571;0.004141;2.042957143
17;28;0;22;0;2.1043;1.804457143;0.027779;0.013628571;0.004141;2.104285714
17;29;0;6;0;1.8865;1.804457143;0.027779;0.013628571;0.004141;1.886228571
17;30;0;15.5;0;2.0158;1.804457143;0.027779;0.013628571;0.004141;2.0157
17;31;0;12.5;0;1.975;1.804457143;0.027779;0.013628571;0.004141;1.974814286
17;32;0;12;0;1.9682;1.804457143;0.027779;0.013628571;0.004141;1.968
17;33;0;26;0;2.1588;1.804457143;0.027779;0.013628571;0.004141;2.1588
17;34;0;26;0;2.1588;1.804457143;0.027779;0.013628571;0.004141;2.1588
17;35;0;24;0;2.1315;1.804457143;0.027779;0.013628571;0.004141;2.131542857
17;36;0;16;0;2.0226;1.804457143;0.027779;0.013628571;0.004141;2.022514286
17;37;0;16;0;2.0226;1.804457143;0.027779;0.013628571;0.004141;2.022514286
17;38;0;6;0;1.8865;1.804457143;0.027779;0.013628571;0.004141;1.886228571
17;39;0;16;0;2.0226;1.804457143;0.027779;0.013628571;0.004141;2.022514286
17;40;0;19.87;0;2.0754;1.804457143;0.027779;0.013628571;0.004141;2.075256857
17;41;0;12;0;1.9682;1.804457143;0.027779;0.013628571;0.004141;1.968
17;42;0;8;0;1.9137;1.804457143;0.027779;0.013628571;0.004141;1.913485714
17;43;0;14.25;0;1.9988;1.804457143;0.027779;0.013628571;0.004141;1.998664286
17;44;0;12;0;1.9682;1.804457143;0.027779;0.013628571;0.004141;1.968
17;45;0;8;0;1.9137;1.804457143;0.027779;0.013628571;0.004141;1.913485714
17;46;0;22;0;2.1043;1.804457143;0.027779;0.013628571;0.004141;2.104285714
17;47;0;12;0;1.9682;1.804457143;0.027779;0.013628571;0.004141;1.968
17;48;0;24;0;2.1315;1.804457143;0.027779;0.013628571;0.004141;2.131542857
17;49;0;26;0;2.1588;1.804457143;0.027779;0.013628571;0.004141;2.1588
17;50;0;16;0;2.0226;1.804457143;0.027779;0.013628571;0.004141;2.022514286
24;1;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;2;0;22.5;0;2.0776;1.651385714;0.027779;0.018942857;0.004141;2.0776
24;3;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;4;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;5;0;18;0;1.9924;1.651385714;0.027779;0.018942857;0.004141;1.992357143
24;6;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;7;0;27.08;0;2.1642;1.651385714;0.027779;0.018942857;0.004141;2.164358286
24;8;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;9;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;10;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;11;0;24;0;2.106;1.651385714;0.027779;0.018942857;0.004141;2.106014286
24;12;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;13;0;8.8;0;1.8183;1.651385714;0.027779;0.018942857;0.004141;1.818082857
24;14;0;15;0;1.9357;1.651385714;0.027779;0.018942857;0.004141;1.935528571
24;15;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;16;0;8.5;0;1.8126;1.651385714;0.027779;0.018942857;0.004141;1.8124
24;17;0;16.23;0;1.9588;1.651385714;0.027779;0.018942857;0.004141;1.958828286
24;18;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;19;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;20;0;14;0;1.9167;1.651385714;0.027779;0.018942857;0.004141;1.916585714
24;21;0;36;0;2.3331;1.651385714;0.027779;0.018942857;0.004141;2.333328571
24;22;0;27;0;2.1628;1.651385714;0.027779;0.018942857;0.004141;2.162842857
24;23;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;24;0;7.45;0;1.7928;1.651385714;0.027779;0.018942857;0.004141;1.79251
24;25;0;16.5;0;1.9641;1.651385714;0.027779;0.018942857;0.004141;1.963942857
24;26;0;20;0;2.0303;1.651385714;0.027779;0.018942857;0.004141;2.030242857
24;27;0;17.5;0;1.983;1.651385714;0.027779;0.018942857;0.004141;1.982885714
24;28;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;29;0;6;0;1.7653;1.651385714;0.027779;0.018942857;0.004141;1.765042857
24;30;0;15.5;0;1.9451;1.651385714;0.027779;0.018942857;0.004141;1.945
24;31;0;12.5;0;1.8883;1.651385714;0.027779;0.018942857;0.004141;1.888171429
24;32;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;33;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;34;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;35;0;24;0;2.106;1.651385714;0.027779;0.018942857;0.004141;2.106014286
24;36;0;16;0;1.9546;1.651385714;0.027779;0.018942857;0.004141;1.954471429
24;37;0;16;0;1.9546;1.651385714;0.027779;0.018942857;0.004141;1.954471429
24;38;0;6;0;1.7653;1.651385714;0.027779;0.018942857;0.004141;1.765042857
24;39;0;16;0;1.9546;1.651385714;0.027779;0.018942857;0.004141;1.954471429
24;40;0;19.87;0;2.0279;1.651385714;0.027779;0.018942857;0.004141;2.027780286
24;41;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;42;0;8;0;1.8032;1.651385714;0.027779;0.018942857;0.004141;1.802928571
24;43;0;14.25;0;1.9215;1.651385714;0.027779;0.018942857;0.004141;1.921321429
24;44;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;45;0;8;0;1.8032;1.651385714;0.027779;0.018942857;0.004141;1.802928571
24;46;0;22;0;2.0682;1.651385714;0.027779;0.018942857;0.004141;2.068128571
24;47;0;12;0;1.8789;1.651385714;0.027779;0.018942857;0.004141;1.8787
24;48;0;24;0;2.106;1.651385714;0.027779;0.018942857;0.004141;2.106014286
24;49;0;26;0;2.1439;1.651385714;0.027779;0.018942857;0.004141;2.1439
24;50;0;16;0;1.9546;1.651385714;0.027779;0.018942857;0.004141;1.954471429
25;1;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;2;1;22.5;22.5;2.3408;1.730926429;0.027779;0.021085714;0.004141;2.3263065
25;3;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;4;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;5;1;18;18;2.2458;1.730926429;0.027779;0.021085714;0.004141;2.212786286
25;6;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
25;7;1;27.08;27.08;2.4373;1.730926429;0.027779;0.021085714;0.004141;2.441844851
25;8;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;9;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
25;10;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;11;1;24;24;2.3724;1.730926429;0.027779;0.021085714;0.004141;2.364146571
25;12;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;13;1;8.8;8.8;2.0517;1.730926429;0.027779;0.021085714;0.004141;1.980700514
25;14;1;15;15;2.1825;1.730926429;0.027779;0.021085714;0.004141;2.137106143
25;15;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;16;1;8.5;8.5;2.0453;1.730926429;0.027779;0.021085714;0.004141;1.9731325
25;17;1;16.23;16.23;2.2084;1.730926429;0.027779;0.021085714;0.004141;2.168135001
25;18;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
