VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00235	1	23.6.2020	3	3	1	2317
00235	1	23.6.2020	5	5	1	2080
00235	1	23.6.2020	2	2	1	2128
00235	1	23.6.2020	4	4	1	2850
00235	1	23.6.2020	1	1	1	2094
00235	1	23.6.2020	4	4	1	1903
00235	1	23.6.2020	3	3	1	3264
00235	1	23.6.2020	3	3	1	2015
00235	1	23.6.2020	4	4	1	2017
00235	1	23.6.2020	3	3	1	1695
00235	1	23.6.2020	1	1	1	1592
00235	1	23.6.2020	1	1	1	1102
00235	1	23.6.2020	4	4	1	1847
00235	1	23.6.2020	4	4	1	3481
00235	1	23.6.2020	1	1	1	1480
00235	1	23.6.2020	1	1	1	1254
00235	1	23.6.2020	5	5	1	2362
00235	1	23.6.2020	2	2	1	2567
00235	1	23.6.2020	2	2	1	1904
00235	1	23.6.2020	4	4	1	2783
00235	1	23.6.2020	4	4	1	1320
00235	1	23.6.2020	3	3	1	1952
00235	1	23.6.2020	4	4	1	2672
00235	1	23.6.2020	4	4	1	2192
00235	1	23.6.2020	3	3	1	3568
00235	1	23.6.2020	1	1	1	1544
00235	1	23.6.2020	2	2	1	1775
00235	1	23.6.2020	4	4	1	3065
00235	1	23.6.2020	1	1	1	1743
00235	1	23.6.2020	3	3	1	2201
00235	1	23.6.2020	4	4	1	2007
00235	1	23.6.2020	5	5	1	1921
00235	1	23.6.2020	4	4	1	2111
00235	1	23.6.2020	2	2	1	1961
00235	1	23.6.2020	0	3	0	2135
00235	1	23.6.2020	0	4	0	0
00235	1	23.6.2020	0	1	0	0
00235	1	23.6.2020	0	4	0	0
00235	1	23.6.2020	0	2	0	0
00235	1	23.6.2020	0	1	0	0
00235	1	23.6.2020	0	3	0	0
00235	1	23.6.2020	0	5	0	0
00235	1	23.6.2020	0	2	0	0
00235	1	23.6.2020	0	5	0	0
00235	1	23.6.2020	0	1	0	0
00235	1	23.6.2020	0	1	0	0
