VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00400	1	9.12.2020	3	3	1	1417
00400	1	9.12.2020	5	5	1	2160
00400	1	9.12.2020	2	2	1	1648
00400	1	9.12.2020	4	4	1	1640
00400	1	9.12.2020	1	1	1	1663
00400	1	9.12.2020	4	4	1	1568
00400	1	9.12.2020	3	3	1	2463
00400	1	9.12.2020	3	3	1	1648
00400	1	9.12.2020	4	4	1	2071
00400	1	9.12.2020	3	3	1	1535
00400	1	9.12.2020	1	1	1	1623
00400	1	9.12.2020	1	1	1	1496
00400	1	9.12.2020	4	4	1	1871
00400	1	9.12.2020	4	4	1	1456
00400	1	9.12.2020	1	1	1	1393
00400	1	9.12.2020	1	1	1	1296
00400	1	9.12.2020	5	5	1	2984
00400	1	9.12.2020	2	2	1	1711
00400	1	9.12.2020	2	2	1	1831
00400	1	9.12.2020	5	4	0	2120
00400	1	9.12.2020	4	4	1	1736
00400	1	9.12.2020	3	3	1	2504
00400	1	9.12.2020	4	4	1	2440
00400	1	9.12.2020	4	4	1	2407
00400	1	9.12.2020	3	3	1	1720
00400	1	9.12.2020	1	1	1	1799
00400	1	9.12.2020	2	2	1	1863
00400	1	9.12.2020	4	4	1	4576
00400	1	9.12.2020	1	1	1	1847
00400	1	9.12.2020	3	3	1	1535
00400	1	9.12.2020	4	4	1	1800
00400	1	9.12.2020	5	5	1	2112
00400	1	9.12.2020	4	4	1	2401
00400	1	9.12.2020	2	2	1	1711
00400	1	9.12.2020	3	3	1	1352
00400	1	9.12.2020	4	4	1	1455
00400	1	9.12.2020	1	1	1	1911
00400	1	9.12.2020	0	4	0	2833
00400	1	9.12.2020	0	2	0	0
00400	1	9.12.2020	0	1	0	0
00400	1	9.12.2020	0	3	0	0
00400	1	9.12.2020	0	5	0	0
00400	1	9.12.2020	0	2	0	0
00400	1	9.12.2020	0	5	0	0
00400	1	9.12.2020	0	1	0	0
00400	1	9.12.2020	0	1	0	0
