VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00120	1	6.2.2020	3	3	1	2628
00120	1	6.2.2020	5	5	1	4752
00120	1	6.2.2020	2	2	1	3071
00120	1	6.2.2020	4	4	1	3360
00120	1	6.2.2020	1	1	1	1879
00120	1	6.2.2020	4	4	1	1616
00120	1	6.2.2020	3	3	1	3528
00120	1	6.2.2020	3	3	1	1792
00120	1	6.2.2020	4	4	1	2088
00120	1	6.2.2020	3	3	1	1712
00120	1	6.2.2020	1	1	1	1703
00120	1	6.2.2020	1	1	1	2248
00120	1	6.2.2020	4	4	1	1879
00120	1	6.2.2020	4	4	1	1473
00120	1	6.2.2020	1	1	1	1296
00120	1	6.2.2020	1	1	1	1584
00120	1	6.2.2020	5	5	1	3096
00120	1	6.2.2020	2	2	1	3831
00120	1	6.2.2020	2	2	1	2847
00120	1	6.2.2020	4	4	1	2536
00120	1	6.2.2020	4	4	1	1711
00120	1	6.2.2020	3	3	1	2464
00120	1	6.2.2020	4	4	1	2903
00120	1	6.2.2020	4	4	1	2888
00120	1	6.2.2020	3	3	1	2888
00120	1	6.2.2020	1	1	1	1799
00120	1	6.2.2020	2	2	1	2231
00120	1	6.2.2020	4	4	1	2312
00120	1	6.2.2020	1	1	1	2382
00120	1	6.2.2020	3	3	1	1593
00120	1	6.2.2020	0	4	0	4087
00120	1	6.2.2020	0	5	0	0
00120	1	6.2.2020	0	4	0	0
00120	1	6.2.2020	0	2	0	0
00120	1	6.2.2020	0	3	0	0
00120	1	6.2.2020	0	4	0	0
00120	1	6.2.2020	0	1	0	0
00120	1	6.2.2020	0	4	0	0
00120	1	6.2.2020	0	2	0	0
00120	1	6.2.2020	0	1	0	0
00120	1	6.2.2020	0	3	0	0
00120	1	6.2.2020	0	5	0	0
00120	1	6.2.2020	0	2	0	0
00120	1	6.2.2020	0	5	0	0
00120	1	6.2.2020	0	1	0	0
00120	1	6.2.2020	0	1	0	0
